block_number,transaction_index,transaction_hash,address,slot,from_value,to_value,chain_id
18732000,23,0x5e1607ed785494b853eece2ef177f1a38b73b8ddf43fb518fa33ad1b2bdffc86,0x367e2d443988e4b222fbfdafdb35eeb7dda9fbb7,0x0000000000000000000000000000000000000000000000000000000000000009,0x0000000000000000000000000000bacbbc527c9f74ca5429144b0692e24a92a4,0x0000000000000000000000000000bacbbde8ba764685f249fd6eb4cffe56b7b4,1
18732000,23,0x5e1607ed785494b853eece2ef177f1a38b73b8ddf43fb518fa33ad1b2bdffc86,0x367e2d443988e4b222fbfdafdb35eeb7dda9fbb7,0x000000000000000000000000000000000000000000000000000000000000000a,0x0000000000000000000000000000002ddada8fc26af9a8bf767dfe30740af42b,0x0000000000000000000000000000002ddadaea80e455697df46a762994776c13,1
18732000,23,0x5e1607ed785494b853eece2ef177f1a38b73b8ddf43fb518fa33ad1b2bdffc86,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x09770d50fec896293ec7d9b83e443dda0ca50508b51012fa46620faa003220f4,0x000000000000000000000000000000000000000000000000c2a5770deb44220c,0x000000000000000000000000000000000000000000000000bbb11b080a3c106d,1
18732000,23,0x5e1607ed785494b853eece2ef177f1a38b73b8ddf43fb518fa33ad1b2bdffc86,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xff41fc1a4467012a5b07073cde03267706f20f2b2e49c6972e0b0b071956a000,0x000000000000000000000000000000000000000000000003e395781e4aa72bdd,0x000000000000000000000000000000000000000000000003ea89d4242baf3d7c,1
18732000,23,0x5e1607ed785494b853eece2ef177f1a38b73b8ddf43fb518fa33ad1b2bdffc86,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,0x2cd2abfe98cd5f4c1448311b19a78837b43a8620087b445919b22f9c9d99a669,0x000000000000000000000000000000000000000000000019bd73f6ef8ed647fb,0x00000000000000000000000000000000000000000000001ab2589adaa346b3fb,1
18732000,23,0x5e1607ed785494b853eece2ef177f1a38b73b8ddf43fb518fa33ad1b2bdffc86,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,0x88ce56e96bf4cbdb03ea3d67b5eb37e2744e650a174210ec15a1fbd3d8090cce,0x000000000000000000000000000000000000000000000000f4e4a3eb14706c00,0x0000000000000000000000000000000000000000000000000000000000000000,1
18732000,24,0x3a5c416e1bfb01f54a938876f6a6af7044d47217a96161f6b1b66e0485198f10,0x9b99cca871be05119b2012fd4474731dd653febe,0xacd59ad0f3e56044be55f3af137a8a3b8037471f08043d3ee4b4b256cefad40d,0x0000000000000000000000000000000000000000000001462b96332fd61c8800,0x0000000000000000000000000000000000000000000000000000000000000000,1
18732000,24,0x3a5c416e1bfb01f54a938876f6a6af7044d47217a96161f6b1b66e0485198f10,0x9b99cca871be05119b2012fd4474731dd653febe,0xf20a9c4946da9f2a975d60fc34d32356894373b3810bd5972d9e5436d159a7da,0x000000000000000000000000000000000000000000013fe5b94d1d04c7db3582,0x00000000000000000000000000000000000000000001412be4e350349df7bd82,1
18732000,24,0x3a5c416e1bfb01f54a938876f6a6af7044d47217a96161f6b1b66e0485198f10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x277919a791352c7657824b98a395dcb9aac913eaa6407a360b8a4e9a6338f8b7,0x00000000000000000000000000000000000000000000000773f77dd65083901d,0x0000000000000000000000000000000000000000000000076c6b9e617b6209af,1
18732000,24,0x3a5c416e1bfb01f54a938876f6a6af7044d47217a96161f6b1b66e0485198f10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xff41fc1a4467012a5b07073cde03267706f20f2b2e49c6972e0b0b071956a000,0x000000000000000000000000000000000000000000000003ea89d4242baf3d7c,0x000000000000000000000000000000000000000000000003f215b39900d0c3ea,1
